id,name,product_type,start_time_utc,end_time_utc,origin_date,publication_date,online,s3_path
acd0b608-aa94-4666-8a3c-ec0bce095d06,S5P_NRTI_L2__SO2____20260417T071950_20260417T072450_44093_03_020800_20260417T080001.nc,L2__SO2___,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T08:02:27.521000Z,2026-04-17T08:04:24.327611Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/17/S5P_NRTI_L2__SO2____20260417T071950_20260417T072450_44093_03_020800_20260417T080001.nc
74df7990-d6e3-4025-bed3-67a0ecd055e9,S5P_NRTI_L2__SO2____20260417T071450_20260417T071950_44093_03_020800_20260417T075527.nc,L2__SO2___,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T07:57:57.522000Z,2026-04-17T08:00:23.529388Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/17/S5P_NRTI_L2__SO2____20260417T071450_20260417T071950_44093_03_020800_20260417T075527.nc
7905ca07-f38b-44e9-baf2-53667fec9d28,S5P_NRTI_L2__SO2____20260417T053950_20260417T054450_44092_03_020800_20260417T061653.nc,L2__SO2___,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T06:18:57.586000Z,2026-04-17T06:21:21.028775Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/17/S5P_NRTI_L2__SO2____20260417T053950_20260417T054450_44092_03_020800_20260417T061653.nc
62155e2c-3118-4d0e-893a-442bc9a0a379,S5P_NRTI_L2__SO2____20260417T053450_20260417T053950_44092_03_020800_20260417T061501.nc,L2__SO2___,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:17:27.550000Z,2026-04-17T06:19:14.959489Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/17/S5P_NRTI_L2__SO2____20260417T053450_20260417T053950_44092_03_020800_20260417T061501.nc
62a5e445-2ab6-4c22-ace3-68790102c16d,S5P_NRTI_L2__SO2____20260416T055450_20260416T055950_44078_03_020800_20260416T063431.nc,L2__SO2___,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:37:27.470000Z,2026-04-16T06:39:50.240711Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/16/S5P_NRTI_L2__SO2____20260416T055450_20260416T055950_44078_03_020800_20260416T063431.nc
688a9394-7dc3-4b5a-b362-4cc8ffc4ceeb,S5P_NRTI_L2__SO2____20260416T054950_20260416T055450_44078_03_020800_20260416T063304.nc,L2__SO2___,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:35:27.645000Z,2026-04-16T06:37:36.427549Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/16/S5P_NRTI_L2__SO2____20260416T054950_20260416T055450_44078_03_020800_20260416T063304.nc
b7e1cbd1-2cf4-4cde-a901-d3f3199bb239,S5P_NRTI_L2__SO2____20260415T061450_20260415T061950_44064_03_020800_20260415T065224.nc,L2__SO2___,2026-04-15T06:14:45.000000Z,2026-04-15T06:19:56.000000Z,2026-04-15T06:54:56.699000Z,2026-04-15T06:57:12.209932Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/15/S5P_NRTI_L2__SO2____20260415T061450_20260415T061950_44064_03_020800_20260415T065224.nc
cc059a81-162c-4332-b832-aedcacc26d34,S5P_NRTI_L2__SO2____20260415T060950_20260415T061450_44064_03_020800_20260415T065259.nc,L2__SO2___,2026-04-15T06:09:44.000000Z,2026-04-15T06:14:56.000000Z,2026-04-15T06:55:27.191000Z,2026-04-15T06:57:11.685998Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/15/S5P_NRTI_L2__SO2____20260415T060950_20260415T061450_44064_03_020800_20260415T065259.nc
ee026d98-2f59-4078-975c-4bbd9dcb2875,S5P_OFFL_L2__SO2____20260415T052413_20260415T070543_44064_03_020800_20260417T034519.nc,L2__SO2___,2026-04-15T05:45:48.000000Z,2026-04-15T06:44:11.000000Z,2026-04-17T04:25:44.520000Z,2026-04-17T04:28:33.966971Z,True,/eodata/Sentinel-5P/TROPOMI/L2__SO2___/2026/04/15/S5P_OFFL_L2__SO2____20260415T052413_20260415T070543_44064_03_020800_20260417T034519.nc
98dc1ee2-8125-4301-a47e-978d505a1a05,S5P_NRTI_L2__O3_____20260417T071950_20260417T072450_44093_03_020800_20260417T075852.nc,L2__O3____,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T08:00:27.165000Z,2026-04-17T08:02:28.360756Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/17/S5P_NRTI_L2__O3_____20260417T071950_20260417T072450_44093_03_020800_20260417T075852.nc
db9e747c-597f-415c-a935-3aa90e7b3509,S5P_NRTI_L2__O3_____20260417T071450_20260417T071950_44093_03_020800_20260417T075428.nc,L2__O3____,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T07:55:57.151000Z,2026-04-17T07:58:48.937646Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/17/S5P_NRTI_L2__O3_____20260417T071450_20260417T071950_44093_03_020800_20260417T075428.nc
e44fd670-f552-481d-9ad9-6d353a483d5e,S5P_NRTI_L2__O3_____20260417T053950_20260417T054450_44092_03_020800_20260417T061532.nc,L2__O3____,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T06:16:58.533000Z,2026-04-17T06:19:15.026093Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/17/S5P_NRTI_L2__O3_____20260417T053950_20260417T054450_44092_03_020800_20260417T061532.nc
2ba9d04b-e75b-4add-8d0d-e20113a4747e,S5P_NRTI_L2__O3_____20260417T053450_20260417T053950_44092_03_020800_20260417T061308.nc,L2__O3____,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:15:27.114000Z,2026-04-17T06:17:09.466285Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/17/S5P_NRTI_L2__O3_____20260417T053450_20260417T053950_44092_03_020800_20260417T061308.nc
8caee2fe-8c2b-478c-8147-5013cd4b36b2,S5P_NRTI_L2__O3_____20260416T055450_20260416T055950_44078_03_020800_20260416T063242.nc,L2__O3____,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:34:57.315000Z,2026-04-16T06:36:31.785593Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/16/S5P_NRTI_L2__O3_____20260416T055450_20260416T055950_44078_03_020800_20260416T063242.nc
261c52d7-8a7e-4090-b8cf-b146132cad6d,S5P_NRTI_L2__O3_____20260416T054950_20260416T055450_44078_03_020800_20260416T063030.nc,L2__O3____,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:33:26.816000Z,2026-04-16T06:35:18.427180Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/16/S5P_NRTI_L2__O3_____20260416T054950_20260416T055450_44078_03_020800_20260416T063030.nc
88294629-0056-44d2-85eb-ea4752e73c5e,S5P_NRTI_L2__O3_____20260415T061450_20260415T061950_44064_03_020800_20260415T065105.nc,L2__O3____,2026-04-15T06:14:45.000000Z,2026-04-15T06:19:56.000000Z,2026-04-15T06:52:57.066000Z,2026-04-15T06:55:07.047862Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/15/S5P_NRTI_L2__O3_____20260415T061450_20260415T061950_44064_03_020800_20260415T065105.nc
1521802e-72c2-46e6-ab1f-1751bf9cee42,S5P_NRTI_L2__O3_____20260415T060950_20260415T061450_44064_03_020800_20260415T065146.nc,L2__O3____,2026-04-15T06:09:44.000000Z,2026-04-15T06:14:56.000000Z,2026-04-15T06:53:26.420000Z,2026-04-15T06:55:07.443107Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/15/S5P_NRTI_L2__O3_____20260415T060950_20260415T061450_44064_03_020800_20260415T065146.nc
b4f1664f-5f2b-48a4-af80-cc756dd5ecb5,S5P_OFFL_L2__O3_____20260415T052413_20260415T070543_44064_03_020800_20260416T214601.nc,L2__O3____,2026-04-15T05:45:48.000000Z,2026-04-15T06:44:11.000000Z,2026-04-17T03:35:00.784000Z,2026-04-17T03:37:45.066177Z,True,/eodata/Sentinel-5P/TROPOMI/L2__O3____/2026/04/15/S5P_OFFL_L2__O3_____20260415T052413_20260415T070543_44064_03_020800_20260416T214601.nc
a29e2b9b-81a1-4a99-a490-25bb5dde716e,S5P_NRTI_L2__NO2____20260417T071950_20260417T072450_44093_03_020901_20260417T075855.nc,L2__NO2___,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T08:01:27.283000Z,2026-04-17T08:03:21.867766Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/17/S5P_NRTI_L2__NO2____20260417T071950_20260417T072450_44093_03_020901_20260417T075855.nc
a22f2dc8-7e35-4bd4-940b-1cfe8b680f9f,S5P_NRTI_L2__NO2____20260417T071450_20260417T071950_44093_03_020901_20260417T075431.nc,L2__NO2___,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T07:57:27.486000Z,2026-04-17T07:59:25.619682Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/17/S5P_NRTI_L2__NO2____20260417T071450_20260417T071950_44093_03_020901_20260417T075431.nc
39edd198-a009-4c7e-a1e3-d6e5bda5f089,S5P_NRTI_L2__NO2____20260417T053950_20260417T054450_44092_03_020901_20260417T061536.nc,L2__NO2___,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T06:18:57.176000Z,2026-04-17T06:21:20.387066Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/17/S5P_NRTI_L2__NO2____20260417T053950_20260417T054450_44092_03_020901_20260417T061536.nc
1055a615-429f-40bb-bfc8-ee519486caf2,S5P_NRTI_L2__NO2____20260417T053450_20260417T053950_44092_03_020901_20260417T061312.nc,L2__NO2___,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:17:27.737000Z,2026-04-17T06:19:15.071365Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/17/S5P_NRTI_L2__NO2____20260417T053450_20260417T053950_44092_03_020901_20260417T061312.nc
ff4052ab-e03a-4a14-8dbf-b16967c6e6ff,S5P_NRTI_L2__NO2____20260416T055450_20260416T055950_44078_03_020901_20260416T063246.nc,L2__NO2___,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:36:27.047000Z,2026-04-16T06:38:40.713672Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/16/S5P_NRTI_L2__NO2____20260416T055450_20260416T055950_44078_03_020901_20260416T063246.nc
6986a6b9-04df-410b-acf2-c714fc69712e,S5P_NRTI_L2__NO2____20260416T054950_20260416T055450_44078_03_020901_20260416T063034.nc,L2__NO2___,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:35:56.954000Z,2026-04-16T06:37:27.433790Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/16/S5P_NRTI_L2__NO2____20260416T054950_20260416T055450_44078_03_020901_20260416T063034.nc
28dc6c01-f43d-4e5b-be29-9bacd6f057d7,S5P_NRTI_L2__NO2____20260415T061450_20260415T061950_44064_03_020901_20260415T065111.nc,L2__NO2___,2026-04-15T06:14:45.000000Z,2026-04-15T06:19:56.000000Z,2026-04-15T06:55:56.536000Z,2026-04-15T06:58:13.560664Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/15/S5P_NRTI_L2__NO2____20260415T061450_20260415T061950_44064_03_020901_20260415T065111.nc
dba608ef-f691-4acd-ae91-a80da448fc01,S5P_NRTI_L2__NO2____20260415T060950_20260415T061450_44064_03_020901_20260415T065150.nc,L2__NO2___,2026-04-15T06:09:44.000000Z,2026-04-15T06:14:56.000000Z,2026-04-15T06:55:26.534000Z,2026-04-15T06:57:10.907315Z,True,/eodata/Sentinel-5P/TROPOMI/L2__NO2___/2026/04/15/S5P_NRTI_L2__NO2____20260415T060950_20260415T061450_44064_03_020901_20260415T065150.nc
a06995c6-0aea-45f1-a1ff-cdce25dafa71,S5P_NRTI_L2__HCHO___20260417T071950_20260417T072450_44093_03_020800_20260417T075853.nc,L2__HCHO__,2026-04-17T07:19:44.000000Z,2026-04-17T07:24:57.000000Z,2026-04-17T08:00:57.622000Z,2026-04-17T08:03:20.465168Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/17/S5P_NRTI_L2__HCHO___20260417T071950_20260417T072450_44093_03_020800_20260417T075853.nc
1e7ce82b-a913-4d98-a7c2-f0ad25f7fdcd,S5P_NRTI_L2__HCHO___20260417T071450_20260417T071950_44093_03_020800_20260417T075430.nc,L2__HCHO__,2026-04-17T07:14:45.000000Z,2026-04-17T07:19:56.000000Z,2026-04-17T07:56:27.278000Z,2026-04-17T07:58:41.790671Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/17/S5P_NRTI_L2__HCHO___20260417T071450_20260417T071950_44093_03_020800_20260417T075430.nc
bc8bd38f-ca9d-4ed1-863e-db15f6005f71,S5P_NRTI_L2__HCHO___20260417T053950_20260417T054450_44092_03_020800_20260417T061534.nc,L2__HCHO__,2026-04-17T05:39:44.000000Z,2026-04-17T05:44:56.000000Z,2026-04-17T06:18:27.382000Z,2026-04-17T06:20:16.966055Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/17/S5P_NRTI_L2__HCHO___20260417T053950_20260417T054450_44092_03_020800_20260417T061534.nc
5265b10a-9ebc-40da-bd9b-be24fc5d9f49,S5P_NRTI_L2__HCHO___20260417T053450_20260417T053950_44092_03_020800_20260417T061310.nc,L2__HCHO__,2026-04-17T05:34:45.000000Z,2026-04-17T05:39:56.000000Z,2026-04-17T06:16:58.004000Z,2026-04-17T06:19:14.925488Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/17/S5P_NRTI_L2__HCHO___20260417T053450_20260417T053950_44092_03_020800_20260417T061310.nc
971d19b1-98a9-4c36-8881-26d58373deaf,S5P_NRTI_L2__HCHO___20260416T055450_20260416T055950_44078_03_020800_20260416T063244.nc,L2__HCHO__,2026-04-16T05:54:45.000000Z,2026-04-16T05:59:56.000000Z,2026-04-16T06:35:57.350000Z,2026-04-16T06:37:28.596631Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/16/S5P_NRTI_L2__HCHO___20260416T055450_20260416T055950_44078_03_020800_20260416T063244.nc
6c9cffa8-cc7e-48bd-af63-3673d94d5ba0,S5P_NRTI_L2__HCHO___20260416T054950_20260416T055450_44078_03_020800_20260416T063032.nc,L2__HCHO__,2026-04-16T05:49:44.000000Z,2026-04-16T05:54:56.000000Z,2026-04-16T06:34:56.940000Z,2026-04-16T06:36:45.143237Z,True,/eodata/Sentinel-5P/TROPOMI/L2__HCHO__/2026/04/16/S5P_NRTI_L2__HCHO___20260416T054950_20260416T055450_44078_03_020800_20260416T063032.nc
